doy (d),tmin (°C),tmax (°C),rad (MJ/m^2/d),rain (mm),vp (kPa),wind (m/s)
147,15.0,28.0,25.0,0.0,1.0,2.0
148,14.8,26.0,16.5,3.0,1.0,2.0
149,13.5,23.5,15.0,9.0,1.0,2.0
150,12.8,24.0,20.0,0.0,1.0,2.0
151,13.2,25.5,22.0,0.0,1.0,2.0
152,14.0,26.8,23.5,0.0,1.0,2.0
153,14.5,27.2,24.0,0.0,1.0,2.0
154,15.0,28.0,25.0,0.0,1.0,2.0
155,15.5,28.5,25.5,0.0,1.0,2.0
156,16.0,29.0,26.0,0.0,1.0,2.0
157,15.8,27.0,17.0,4.0,1.0,2.0
158,14.5,24.5,14.5,10.0,1.0,2.0
159,13.8,25.0,21.0,0.0,1.0,2.0
160,14.2,26.5,23.0,0.0,1.0,2.0
161,15.0,27.8,24.5,0.0,1.0,2.0
162,15.5,28.2,25.0,0.0,1.0,2.0
163,16.0,29.0,25.8,0.0,1.0,2.0
164,16.5,29.5,26.5,0.0,1.0,2.0
165,17.0,30.0,27.0,0.0,1.0,2.0
166,16.8,28.0,18.0,5.0,1.0,2.0
167,15.5,25.5,15.0,12.0,1.0,2.0
168,14.8,26.0,22.0,0.0,1.0,2.0
169,15.2,27.5,24.0,0.0,1.0,2.0
170,16.0,28.8,25.5,0.0,1.0,2.0
171,16.5,29.2,26.0,0.0,1.0,2.0
172,17.0,30.0,26.8,0.0,1.0,2.0
173,17.5,30.5,27.5,0.0,1.0,2.0
174,18.0,31.0,28.0,0.0,1.0,2.0
175,17.8,29.0,19.0,6.0,1.0,2.0
176,16.5,26.5,16.0,15.0,1.0,2.0
177,15.8,27.0,23.0,0.0,1.0,2.0
178,16.2,28.5,25.0,0.0,1.0,2.0
179,17.0,29.8,26.5,0.0,1.0,2.0
180,17.5,30.2,27.0,0.0,1.0,2.0
181,18.0,31.0,27.8,0.0,1.0,2.0
182,18.5,31.5,28.5,0.0,1.0,2.0
183,19.0,32.0,29.0,0.0,1.0,2.0
184,18.8,30.0,20.0,8.0,1.0,2.0
185,17.5,27.5,17.0,18.0,1.0,2.0
186,16.8,28.0,24.0,0.0,1.0,2.0
187,17.2,29.5,26.0,0.0,1.0,2.0
188,18.0,30.8,27.5,0.0,1.0,2.0
189,18.5,31.2,28.0,0.0,1.0,2.0
190,19.0,32.0,28.8,0.0,1.0,2.0
191,19.5,32.5,29.5,0.0,1.0,2.0
192,20.0,33.0,30.0,0.0,1.0,2.0
193,19.8,31.0,21.0,10.0,1.0,2.0
194,18.5,28.5,18.0,22.0,1.0,2.0
195,17.8,29.0,25.0,0.0,1.0,2.0
196,18.2,30.5,27.0,0.0,1.0,2.0
197,19.0,31.8,28.5,0.0,1.0,2.0
198,19.5,32.2,29.0,0.0,1.0,2.0
199,20.0,33.0,29.8,0.0,1.0,2.0
200,20.5,33.5,30.5,0.0,1.0,2.0
201,21.0,34.0,31.0,0.0,1.0,2.0
202,20.8,32.0,22.0,12.0,1.0,2.0
203,19.5,29.5,19.0,25.0,1.0,2.0
204,18.8,30.0,26.0,0.0,1.0,2.0
205,19.2,31.5,28.0,0.0,1.0,2.0
206,20.0,32.8,29.5,0.0,1.0,2.0
207,20.5,33.2,30.0,0.0,1.0,2.0
208,21.0,34.0,30.8,0.0,1.0,2.0
209,21.5,34.5,31.5,0.0,1.0,2.0
210,22.0,35.0,32.0,0.0,1.0,2.0
211,21.8,33.0,23.0,14.0,1.0,2.0
212,20.5,30.5,20.0,28.0,1.0,2.0
213,19.8,31.0,27.0,0.0,1.0,2.0
214,20.2,32.5,29.0,0.0,1.0,2.0
215,21.0,33.8,30.5,0.0,1.0,2.0
216,21.5,34.2,31.0,0.0,1.0,2.0
217,22.0,35.0,31.8,0.0,1.0,2.0
218,22.5,35.5,32.5,0.0,1.0,2.0
219,23.0,36.0,33.0,0.0,1.0,2.0
220,22.8,34.0,24.0,16.0,1.0,2.0
221,21.5,31.5,21.0,30.0,1.0,2.0
222,20.8,32.0,28.0,0.0,1.0,2.0
223,21.2,33.5,30.0,0.0,1.0,2.0
224,22.0,34.8,31.5,0.0,1.0,2.0
225,22.5,35.2,32.0,0.0,1.0,2.0
226,23.0,36.0,32.8,0.0,1.0,2.0
227,23.5,36.5,33.5,0.0,1.0,2.0
228,24.0,37.0,34.0,0.0,1.0,2.0
229,23.8,35.0,25.0,18.0,1.0,2.0
230,22.5,32.5,22.0,32.0,1.0,2.0
231,21.8,33.0,29.0,0.0,1.0,2.0
232,22.2,34.5,31.0,0.0,1.0,2.0
233,23.0,35.8,32.5,0.0,1.0,2.0
234,23.5,36.2,33.0,0.0,1.0,2.0
235,24.0,37.0,33.8,0.0,1.0,2.0
236,24.5,37.5,34.5,0.0,1.0,2.0
237,25.0,38.0,35.0,0.0,1.0,2.0
238,24.8,36.0,26.0,20.0,1.0,2.0
239,23.5,33.5,23.0,35.0,1.0,2.0
240,22.8,34.0,30.0,0.0,1.0,2.0
241,23.2,35.5,32.0,0.0,1.0,2.0
242,24.0,36.8,33.5,0.0,1.0,2.0
243,24.5,37.2,34.0,0.0,1.0,2.0
244,25.0,38.0,34.8,0.0,1.0,2.0
245,25.5,38.5,35.5,0.0,1.0,2.0
246,26.0,39.0,36.0,0.0,1.0,2.0
247,25.8,37.0,27.0,22.0,1.0,2.0
248,24.5,34.5,24.0,38.0,1.0,2.0
249,23.8,35.0,31.0,0.0,1.0,2.0
250,24.2,36.5,33.0,0.0,1.0,2.0
